method,from_budget,to_budget,gradient_use,selected_raw_norm_percentile_U,selected_top_decile_fraction_U,selected_raw_norm_percentile_outer,selected_top_decile_fraction_outer,selected_raw_norm_mean,raw_effective_rank,raw_algebraic_rank,raw_pairwise_distance,raw_nearest_L_distance,unit_effective_rank,unit_algebraic_rank,unit_pairwise_distance,unit_nearest_L_distance
random,333,365,diagnostic_only,50.86518595041323,0.1875,51.06532493816056,0.1875,478.4645910800033,22.828017946770252,31,603.7360282301877,260.4998219264115,25.471597573247063,31,1.163651012374354,0.5287689830116477
random,365,397,diagnostic_only,50.297035766780986,0.0625,50.47082302675962,0.09375,604.94545539409,24.933732523807713,31,738.2277735353641,303.99172648203654,26.757547147562352,31,1.1547447032343203,0.46079228983040865
random,397,429,diagnostic_only,52.59953703703704,0.15625,52.90153474252305,0.15625,652.1723580252093,24.391521193126408,31,817.9425157020281,350.99410756409696,26.96476845211857,31,1.1616198884029396,0.5044855208605157
raw_gradient_lcmd,333,365,acquisition,94.31818181818183,0.78125,94.30304137620868,0.78125,942.3387115282106,25.598745012077437,31,985.7539945282505,644.9432589412135,26.433325190825023,31,1.012962533062337,0.6716300051645323
raw_gradient_lcmd,365,397,acquisition,93.65889882410583,0.78125,93.83784011693277,0.78125,1000.8045572041086,25.700400603831103,31,1168.9709603875597,731.5211715968642,26.51910227567276,31,1.1361784762696652,0.770128417505118
raw_gradient_lcmd,397,429,acquisition,93.80401234567901,0.78125,93.8835169777378,0.78125,1050.8193783547417,25.203950784371614,31,1286.931789863355,782.889024644111,26.599020140946116,31,1.1772267306379194,0.785633564741157
unit_gradient_lcmd,333,365,acquisition,58.28193364122508,0.125,58.47481448167304,0.125,506.73790400479174,25.257566594177522,31,610.1966389643966,370.44240211784137,27.351902699482782,31,1.127856926765067,0.7640538977563196
unit_gradient_lcmd,365,397,acquisition,65.97562469377756,0.125,66.39237126152462,0.125,600.3714689082097,26.238774117955636,31,749.4288190887085,470.10458454157987,27.719098692880948,31,1.1944940173788834,0.8276965125718901
unit_gradient_lcmd,397,429,acquisition,46.50077160493827,0.15625,46.486395322689454,0.15625,716.9299929506215,22.168043119026017,31,923.0554154540011,499.37737077982143,27.278548910393603,31,1.116277415076257,0.7184800113692306
raw_gradient_maxdet,333,365,acquisition,98.42078877005348,1.0,98.35633573195412,1.0,1213.698093960768,25.590911159610613,31,1299.6371107989266,801.4233067084278,25.976074352519028,31,1.054889359576359,0.6538124829699455
raw_gradient_maxdet,365,397,acquisition,98.98027927486525,1.0,98.98035192264449,1.0,1222.5016335313367,26.425337536329693,31,1351.5173727292786,842.4126656587262,26.59680072663296,31,1.0971590643270193,0.7203052128815843
raw_gradient_maxdet,397,429,acquisition,97.31481481481481,0.90625,96.97267821002923,0.90625,1100.8439846874667,24.25192427945663,31,1262.1640631772264,514.8055612539354,25.09162003704384,31,1.1183902413327245,0.49107614378562725
unit_gradient_maxdet,333,365,acquisition,51.291322314049594,0.09375,51.47711940634135,0.09375,491.5639039972097,23.73872899800137,31,658.2408673528379,367.79949939235735,27.62457747661797,31,1.2268165997594993,0.76654934712063
unit_gradient_maxdet,365,397,acquisition,30.137646986771188,0.0,30.356841691027658,0.0,464.1167795125198,25.412816624943137,31,604.3694593034378,351.4325959370616,28.43761977904491,31,1.1984802752328443,0.7585417568411277
unit_gradient_maxdet,397,429,acquisition,31.797067901234566,0.03125,32.13191477400495,0.03125,531.2940944902452,25.459794270947267,31,684.3354358596882,350.16893790257336,28.46330711106967,31,1.1968993084423336,0.6469666451415043
