method,split,integrated_rmse,budget_normalized_AULC_RMSE,normalized_AULC_NRMSE,AULC_ratio_to_random
random,validation,747.9254233914012,7.790889826993762,0.8774274990373506,1.0
random,test,713.5740026334674,7.433062527431953,0.8371281854141522,1.0
raw_gradient_lcmd,validation,736.7171984364221,7.67413748371273,0.8642785880853708,0.9850142479391109
raw_gradient_lcmd,test,698.6691864358911,7.277804025373865,0.8196426244332856,0.9791124450406409
unit_gradient_lcmd,validation,741.6335647751507,7.725349633074487,0.8700462152926153,0.9915875855807648
unit_gradient_lcmd,test,732.0011630268616,7.625012114863142,0.8587459787832041,1.0258237552452698
raw_gradient_maxdet,validation,762.2218494290838,7.939810931552956,0.894199328087547,1.0191147748031573
raw_gradient_maxdet,test,719.278702773534,7.492486487224312,0.8438206451435725,1.007994545932185
unit_gradient_maxdet,validation,772.0959044483623,8.042665671337106,0.9057830597404136,1.032316699367381
unit_gradient_maxdet,test,723.1603863953358,7.532920691618081,0.8483744359973291,1.0134343231766985
