method,budget,split,rmse,mae,r2,nrmse
random,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
random,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
random,365,validation,7.780393223097065,5.015982104699138,0.21755701529675753,0.8762453479467841
random,365,test,7.723159557069728,5.291978676792098,0.13645379476119257,0.8697995640173144
random,397,validation,7.886717506892545,4.805840779895242,0.19602567890587896,0.8882198274336289
random,397,test,7.264689113964444,4.75013793624847,0.2359361841269797,0.8181655936738216
random,429,validation,7.7249125923304796,4.86214975403388,0.2286761587580004,0.8699969947830833
random,429,test,7.143339659544358,4.808744150617344,0.26124885432890077,0.8044989457471048
raw_gradient_lcmd,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
raw_gradient_lcmd,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
raw_gradient_lcmd,365,validation,7.882952266162192,5.109001060246456,0.19679315517254625,0.8877957775714604
raw_gradient_lcmd,365,test,7.235745452387458,4.771030718981013,0.2420123560698233,0.8149058935427163
raw_gradient_lcmd,397,validation,7.4273719657510675,4.756009604284155,0.28695004720178185,0.8364873015851347
raw_gradient_lcmd,397,test,7.317668372437129,4.883315726330406,0.22475135943006752,0.8241322366754309
raw_gradient_lcmd,429,validation,7.737971528796987,4.891349233596431,0.22606611422417278,0.8714677215188401
raw_gradient_lcmd,429,test,7.0806583396150025,4.7485829094643535,0.274156748059184,0.7974396348078823
unit_gradient_lcmd,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
unit_gradient_lcmd,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
unit_gradient_lcmd,365,validation,7.762634788575664,4.93109808277022,0.22112472833288477,0.87424535319202
unit_gradient_lcmd,365,test,7.986440278940866,5.27140798356369,0.07657407651755166,0.8994508298503572
unit_gradient_lcmd,397,validation,7.667518764604112,4.834684887395697,0.24009499967562387,0.8635331730835845
unit_gradient_lcmd,397,test,7.316292610398793,4.9421545754560094,0.2250428340737185,0.8239772952667633
unit_gradient_lcmd,429,validation,7.805585782434493,5.041586444445467,0.21248178230659276,0.879082590524288
unit_gradient_lcmd,429,test,7.665268747520522,4.999301453833638,0.14935111412015978,0.8632797711094473
raw_gradient_maxdet,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
raw_gradient_maxdet,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
raw_gradient_maxdet,365,validation,8.016349701558525,5.008261957149274,0.16937898241563343,0.9028192961575222
raw_gradient_maxdet,365,test,7.769971072712732,5.20558522973466,0.12595383944426541,0.8750715819778915
raw_gradient_maxdet,397,validation,7.878246668035146,5.325259365050899,0.19775179107989382,0.8872658225486357
raw_gradient_maxdet,397,test,7.383853002480549,5.093418746824689,0.21066447372919672,0.83158609826291
raw_gradient_maxdet,429,validation,8.16346794047752,5.106630881305648,0.13861165683301047,0.9193880824327716
raw_gradient_maxdet,429,test,7.167932609980297,4.855908940195555,0.25615338203823423,0.8072686590242957
unit_gradient_maxdet,333,validation,7.686204909652875,5.058523494705015,0.23638662981144487,0.8656376486801944
unit_gradient_maxdet,333,test,7.479338162979012,5.142232128483081,0.1901177059972634,0.8423398513555365
unit_gradient_maxdet,365,validation,8.121395461442162,5.4068338861349625,0.14746753901310672,0.9146497854117572
unit_gradient_maxdet,365,test,7.703613769977143,5.32755723559422,0.1408191925848954,0.867598273604255
unit_gradient_maxdet,397,validation,8.006314228429686,5.235563621829878,0.17145734915312982,0.9016890786490439
unit_gradient_maxdet,397,test,7.449172657937346,5.005021811496873,0.19663733155565233,0.8389425444710005
unit_gradient_maxdet,429,validation,8.314369738626073,5.387784402380105,0.10647177745557834,0.9363829816406858
unit_gradient_maxdet,429,test,7.412613130900494,5.020285314876541,0.2045035704485526,0.8348251284779276
