epoch,optimizer_steps,sample_presentations,train_loss,validation_mse,rmse,mae,r2,nrmse,train_seconds,validation_seconds,elapsed_seconds
1,3,356,209.14481396621534,149.78962801608836,12.2388573002584,8.644144781205336,-0.9361158910288216,1.4225009184153268,0.6018079999921611,0.2456600419973256,0.9420945419988129
2,6,712,117.14080124758603,241.4212168893612,15.537735256122792,12.875851065478464,-2.1205061434614425,1.805923717360625,0.6992943750083214,0.23420708399498835,1.8757058339979267
3,9,1068,75.32519454098819,262.5525843827259,16.20347445403997,13.642571657831942,-2.3936410523663425,1.8833014167020723,0.6927622079965658,0.22614050000265706,2.7947157500020694
4,12,1424,65.3375843348128,251.3206449354096,15.853095752420396,13.232356825815174,-2.248461865135256,1.8425775147380798,0.6103596660104813,0.22768304200144485,3.632859916993766
5,15,1780,56.46416284796897,166.25004570733117,12.893798730681784,9.600826725062088,-1.1488761247451658,1.4986236121790526,0.8668650000035996,0.25104320800164714,4.750856874990859
6,18,2136,46.84558688388782,99.18480574369546,9.95915687915877,6.396094587650376,-0.28201986407463364,1.1575353368117598,0.6019581669970648,0.29527895800129045,5.6645021669974085
7,21,2492,40.42971548873387,77.04872040169897,8.777740050929907,5.9042478370280405,0.004101592820942357,1.020221330940362,0.6411310830008006,0.22668629100371618,6.548590209000395
8,24,2848,32.81822273168671,80.24482993059233,8.957947863801861,6.323206694019951,-0.03720993542248463,1.0411665689660197,0.5785194580093957,0.26065504099824466,7.387824624995119
9,27,3204,27.605476400825413,90.14422497366226,9.49443126120055,6.724072385896073,-0.16516523051408538,1.1035210933134927,0.9724862919974839,0.407613916991977,8.768034416993032
10,30,3560,21.22055808078037,114.68844228448364,10.709268989267365,7.895833177605138,-0.482413158810175,1.2447195517565164,1.3246672499954002,0.4695496249914868,10.562379374998272
11,33,3916,19.804780338587385,74.95351266917618,8.657569674520452,6.236945807692493,0.031183341001184584,1.0062541388557582,1.0090117920044577,0.2548553329979768,11.843730666994816
12,36,4272,19.56573237729876,83.14746760625752,9.118523323776582,6.71245660086875,-0.07472817352873551,1.0598299730473943,0.6010753340087831,0.22206816599646118,12.666934583990951
13,39,4628,24.765444037619602,101.63946450757358,10.081639971134338,6.719631496952613,-0.31374772068755696,1.171771331770367,0.5772126670053694,0.21971954200125765,13.463959458997124
14,42,4984,21.55562820863188,87.41149127676792,9.349411279688573,6.8384455263855966,-0.1298430976896494,1.0866656752112647,0.5565880830108654,0.21145604198682122,14.23210883399588
15,45,5340,15.314869794952735,156.48903019452754,12.509557553907634,9.699391106844914,-1.0227094635602656,1.453963934118857,0.592969584002276,0.22522675000072923,15.050399542000378
16,48,5696,10.866863690065534,77.19749892992249,8.786210726469204,6.0370525609143835,0.002178545968148815,1.0212058627016722,0.5695869170012884,0.22901075000117999,15.849076541999239
17,51,6052,10.092455649643801,70.36907943104636,8.388627982634965,5.832494812938366,0.09043974053473891,0.9749955177017064,0.5510124590073247,0.2224109579983633,16.6379399169964
18,54,6408,7.893916392594241,69.77010656768407,8.352850206228055,5.696497473639515,0.09818180448409486,0.9708371295001696,0.5466599579958711,0.22367029199085664,17.423536667003646
19,57,6764,6.767836324284586,70.9686946070468,8.424291935055836,5.755025502641192,0.08268937433026624,0.9791406763409806,0.5940579580055783,0.20323245800682344,18.22088341700146
20,60,7120,6.237039062414277,74.0368967190784,8.60446957802039,5.680313876283313,0.04303112198882497,1.000082407771216,0.5353925409872318,0.218606666996493,18.974987749999855
21,63,7476,5.193258156937159,73.3435432335174,8.564084494767517,5.768297116283463,0.05199310900538068,0.9953885203756763,0.6166074999928242,0.21143550000851974,19.803120875003515
22,66,7832,3.9853105196792087,74.78360938172031,8.6477516951934,6.114720891844406,0.033379437347361596,1.005113012338218,0.5652904579910683,0.22285970801021904,20.591371417001938
23,69,8188,3.3158401933948647,80.6814889936157,8.982287514526336,6.102805381120458,-0.04285400145081142,1.0439955238806866,0.770860457996605,0.31520833300601225,21.677552791996277
24,72,8544,3.3912435622697465,75.23445902347021,8.673779973199125,5.89837746533305,0.027551950041211914,1.0081382334401203,0.6580502919969149,0.24609662500733975,22.581967916994472
25,75,8900,3.206895086202729,78.92835556889632,8.884163189006397,6.084324249854455,-0.020193757696628234,1.0325907056246515,0.6603714999946533,0.23661112500121817,23.479051083995728
26,78,9256,2.9489872937791803,79.30766961917907,8.905485366849977,6.0092800832711735,-0.025096606913691755,1.0350689449586836,0.5700348340033088,0.22655700000177603,24.275766334001673
27,81,9612,2.8468138582251044,74.38090312041442,8.624436394363078,6.044771993691139,0.03858464415812579,1.0024031158151527,1.413134833012009,0.6053168329963228,26.294322917005047
28,84,9968,3.3169425283924916,85.32411994450685,9.237105604273822,6.242175226970783,-0.10286263942698115,1.073612583529465,1.503548332999344,0.4668847499997355,28.264893917003064
29,87,10324,3.219022501720471,75.72307023229988,8.701900380508839,6.220101859405456,0.02123637306515891,1.0114066190616633,1.1283312500017928,0.3226517090079142,29.715970584002207
30,90,10680,2.5686189405034097,76.4180777828,8.741743406369235,6.013210143154932,0.012253006321209736,1.0160375040771836,1.0314758750027977,0.38713862499571405,31.1347133340023
31,93,11036,2.2917471601721946,72.32505897122746,8.504414087474073,5.824071446893669,0.06515759569981672,0.9884531335912132,1.0885339999949792,0.3391867500031367,32.56257737499254
32,96,11392,2.5878703969248225,70.63889148501926,8.404694609860567,5.733722662636143,0.08695226672091838,0.9768629136050619,1.0860069999907864,0.3530787500058068,34.001769291993696
33,99,11748,2.3423619082804477,81.64646102052734,9.035843127264181,5.992413196969129,-0.05532681215504298,1.0502201988186217,1.0993994579912396,0.3788082079991,35.48010808399704
34,102,12104,2.2570059781663874,72.02737381985803,8.486894238757664,5.923477539649377,0.06900534510492107,0.98641683230277,1.1379831660015043,0.3466096250049304,36.964807875003316
35,105,12460,2.388338967655482,74.69962500044707,8.642894480464694,5.829014912428644,0.034464983104667724,1.0045484667893145,1.0955652499978896,0.27382337499875575,38.33433250000235
36,108,12816,2.5556103165230053,72.71668791958345,8.527408042282453,5.655000736838893,0.060095569441112606,0.9911256806297534,0.6270815830066567,0.2348818750033388,39.19637637499545
37,111,13172,2.2093852155663996,71.15007671523115,8.435050486821709,5.687057057855583,0.08034490771628733,0.9803911239434254,0.5917775830021128,0.20863641699543223,39.99688199999218
38,114,13528,1.529970268185219,72.01340955027062,8.486071502778575,5.5789791408338045,0.06918584120877591,0.9863212071429078,0.57844420899346,0.22455533299944364,40.799968624996836
