method,budget,morgan_novelty,morgan_novelty_percentile,latent_novelty_percentile,novel_scaffold_fraction,heavy_atom_count,heavy_atom_percentile
random,333,0.4757583080790937,52.28753949927078,51.992434370442396,0.375,21.53125,51.031538648517255
random,365,0.38562047854065895,37.444879960803526,44.515556099951006,0.34375,20.59375,48.2889821166095
random,397,0.42436417657881975,46.688657407407405,47.60493827160494,0.1875,21.84375,51.110339506172835
raw_gradient_lcmd,333,0.5534129776060581,64.57712992221681,37.97247204666991,0.59375,19.0625,40.889341273699564
raw_gradient_lcmd,365,0.5667905020527542,69.22273089171975,60.30821288584028,0.53125,21.34375,49.44114404703576
raw_gradient_lcmd,397,0.5376140242442489,65.33449074074073,56.320216049382715,0.46875,21.65625,53.360339506172835
raw_gradient_maxdet,333,0.5599378310143948,65.70247933884298,42.600723140495866,0.5625,20.84375,49.44852941176471
raw_gradient_maxdet,365,0.5557606993243098,67.0030009799118,54.88348236158746,0.8125,26.03125,68.15899069083783
raw_gradient_maxdet,397,0.43291675578802824,46.907793209876544,49.69984567901234,0.5,25.46875,63.85879629629629
