method,budget,gradient_norm_percentile,top_decile_gradient_fraction,latent_nearest_L_cosine_distance,latent_novelty_percentile,latent_pairwise_distance,latent_effective_rank,morgan_max_tanimoto,morgan_novelty,morgan_novelty_percentile,morgan_pairwise_distance,novel_scaffold_fraction,scaffold_novelty_percentile,heavy_atom_count,molecular_weight
random,333,50.85303232863393,0.1875,0.024232105672484214,51.992434370442396,0.3298980327109118,17.34982402140282,0.5242416951805353,0.4757583080790937,52.28753949927078,0.862980687329846,0.375,48.17391832766165,21.53125,301.79159375
random,365,59.22801322880941,0.25,0.0173332318048135,43.965121264086235,0.29772855068894283,17.97813531758804,0.5572637841105461,0.4427362196147442,47.88629960803527,0.8751788388396944,0.4375,51.93379470847623,21.625,310.3441250000001
random,397,42.80555555555556,0.15625,0.020655877025877133,39.341820987654316,0.3970595942673909,17.86664085824982,0.5969313383102417,0.40306866308674216,42.39660493827161,0.8683991877422217,0.3125,46.79783950617285,20.5625,289.42928125000003
raw_gradient_lcmd,333,94.30602819640252,0.78125,0.014438337840361196,37.97247204666991,0.060328961828817834,19.292066591452517,0.44658702425658703,0.5534129776060581,64.57712992221681,0.8569572180389396,0.59375,59.11141832766165,19.0625,270.10368750000004
raw_gradient_lcmd,365,93.64664992650663,0.78125,0.03334971261524835,48.828699167074966,0.14428297726831893,20.24876018300762,0.4332094993442297,0.5667905020527542,69.22273089171975,0.850546729240206,0.53125,57.53996202841745,21.34375,295.77534375000005
raw_gradient_lcmd,397,93.79166666666666,0.78125,0.029477021747328382,49.02083333333333,0.1296876506609492,19.914219880659378,0.4623859766870737,0.5376140242442489,65.33449074074073,0.8657910589188818,0.46875,55.22762345679013,21.65625,310.47968750000007
latent_coreset,333,29.055511667476907,0.0,0.09429075077659119,99.40447253281478,0.3057439079011099,22.138969810469195,0.4289175495505333,0.571082450915128,67.54299343704423,0.8861360926060907,0.5,54.42391832766165,22.46875,317.93971875
latent_coreset,365,34.43318226359628,0.0625,0.07919949414714891,99.22449167074964,0.30340622224399777,22.283220706180227,0.41557117737829685,0.5844288212247193,71.4780591621754,0.8840863075888445,0.59375,59.45232116609506,23.78125,331.95312500000006
latent_coreset,397,28.86226851851852,0.0,0.05988398023680493,99.34953703703704,0.2611443786609324,21.49970294202115,0.48221309669315815,0.5177869005128741,60.64699074074073,0.8718411673701578,0.40625,50.70756172839506,21.59375,301.42375000000004
morgan_coreset,333,50.25370685464267,0.125,0.03888088758685166,70.28059674282936,0.32085054864423673,19.793702763495872,0.22391825914382935,0.7760817408561707,99.1511454788527,0.9133350928464243,0.9375,76.29891832766165,23.0,326.00065625
morgan_coreset,365,43.247029642332194,0.0625,0.0288099414194009,71.297005144537,0.3491726127471544,17.989473456144868,0.26298155076801777,0.7370184492319822,99.36458843704067,0.893084978504527,0.75,68.0609995100441,20.28125,289.35478125
morgan_coreset,397,62.57098765432099,0.3125,0.03700162387728255,65.48148148148148,0.38499555284904924,19.496431850661644,0.28346754796803,0.71653245203197,99.27314814814815,0.8844003416597843,0.9375,78.25771604938272,22.40625,318.26303125000004
