method,split,normalized_aulc,ratio_to_random
random,validation,0.8714130280850222,1.0
raw_gradient_lcmd,validation,0.8642785880853708,0.9918127916731637
latent_coreset,validation,0.8978451485678196,1.0303324825667153
morgan_coreset,validation,0.9080364979745609,1.0420276822920822
random,test,0.8589179660665754,1.0
raw_gradient_lcmd,test,0.8196426244332855,0.9542734659362735
latent_coreset,test,0.8577263972732813,0.998612709431669
morgan_coreset,test,0.861896678424607,1.0034679823635226
