method,budget,id,latent_nearest_L_cosine_distance,latent_nearest_L_cosine_distance_pool_percentile,morgan_nearest_L_max_tanimoto,morgan_nearest_L_max_tanimoto_pool_percentile,morgan_novelty,morgan_novelty_pool_percentile,scaffold_novelty,scaffold_novelty_pool_percentile,heavy_atom_count,heavy_atom_count_pool_percentile,molecular_weight,molecular_weight_pool_percentile,gradient_norm,gradient_norm_pool_percentile
random,333,4518,0.012849849589767315,35.59795819154108,0.48888885974884033,43.825960136120564,0.5111111402511597,56.17403986387943,0.0,29.423918327661642,19.0,43.2912007778318,248.32899999999998,34.27321341759845,327.9278886471164,30.955274671852212
random,333,2523,0.06814429268290012,97.16820612542537,0.6721311807632446,75.7413709285367,0.32786884903907776,24.258629071463297,1.0,79.42391832766165,30.0,88.79436071949442,439.45500000000015,90.73894020418085,384.9702452247988,42.768595041322314
random,333,3777,0.017024391048214405,45.685464268351964,0.3478260636329651,16.589693728731163,0.6521739363670349,83.41030627126884,1.0,79.42391832766165,14.0,12.20223626640739,187.28600000000003,8.130772970345163,331.27386471909114,31.83033543996111
random,333,422,0.008679983692238435,25.315994166261547,0.39024388790130615,24.829849295089936,0.6097561120986938,75.17015070491007,1.0,79.42391832766165,11.0,1.9688867282450169,152.16799999999998,1.3855128828390861,864.2003622203953,94.32425862907147
random,333,4433,0.0019262977616687493,7.47447739426349,0.6176470518112183,67.13660670879922,0.38235294818878174,32.86339329120078,0.0,29.423918327661642,17.0,28.889158969372875,255.383,38.429752066115704,259.2101732651826,15.471560525036459
random,333,307,0.003635518448382724,12.82207097715119,0.75,87.91929995138551,0.25,12.080700048614487,0.0,29.423918327661642,25.0,75.12153621779291,328.45900000000006,68.55858045697619,632.7542215184905,80.56635877491493
random,333,1301,0.02797191834025925,66.58969372873116,0.37777775526046753,22.520661157024794,0.6222222447395325,77.47933884297521,1.0,79.42391832766165,17.0,28.889158969372875,229.25399999999996,25.40106951871658,543.648122380424,70.11424404472533
random,333,2132,0.02923096475112763,68.60719494409334,0.47727274894714355,41.17647058823529,0.5227272510528564,58.82352941176471,0.0,29.423918327661642,18.0,36.193485658726296,238.33,29.035002430724354,839.4921934992769,93.57073407875546
random,333,3289,0.0015491361750300525,6.186193485658726,0.7301586866378784,85.02673796791443,0.2698412835597992,14.973262032085561,0.0,29.423918327661642,32.0,92.23383568303355,439.9420000000001,90.88478366553232,606.3653376247228,77.96548371414681
random,333,1351,0.05167090486480386,91.67476908118618,0.6060606241226196,65.0583373845406,0.39393940567970276,34.94166261545941,0.0,29.423918327661642,11.0,1.9688867282450169,147.22099999999998,0.7656781720952844,224.09827313767516,8.714146815751093
random,333,3199,0.0179183473700264,48.067574137092855,0.27586209774017334,4.76421973748177,0.7241379022598267,95.23578026251823,1.0,79.42391832766165,24.0,71.0379192999514,332.32099999999997,69.85901798736023,573.3733808161466,74.02771025765679
random,333,4809,0.03167910039333677,72.71511910549344,0.8372092843055725,96.75498298492951,0.1627907007932663,3.245017015070491,0.0,29.423918327661642,22.0,61.95916383082158,296.32200000000006,57.04910063198834,230.5063925410162,9.880894506562955
random,333,2961,0.005262427667069303,16.929995138551288,1.0,99.10063198833252,0.0,0.8993680116674769,0.0,29.423918327661642,20.0,49.939231891103546,286.758,51.9931939718036,470.37721144788014,58.47107438016529
