method,budget,gradient_norm_percentile,latent_novelty_percentile,morgan_novelty_percentile,novel_scaffold_fraction,heavy_atom_count,molecular_weight
random,429,50.33287705326032,49.69434420109508,51.19151319064211,0.375,21.5,302.8684375
random,461,57.86973156046162,41.05933266432514,57.17197691921726,0.28125,19.3125,279.7664375
raw_gradient_lcmd,429,90.04324290691886,53.08455699352912,69.14704143852663,0.65625,24.25,340.17590625
raw_gradient_lcmd,461,70.50771450075263,58.69449322629202,70.02203023080781,0.5,18.3125,259.14871875
latent_coreset,429,34.710210303633644,99.37002239920358,61.62891986062718,0.625,24.375,338.7076875
latent_coreset,461,44.135725037631715,99.38848469643753,61.64662255393878,0.5,23.375,327.8374375000001
morgan_coreset,429,51.43339347934295,66.02787456445994,99.35446739671478,0.71875,21.40625,306.07325000000003
morgan_coreset,461,47.82598469643753,68.65278474661315,99.33321312092323,0.75,21.375,306.57112500000005
