method,split,full_normalized_aulc,full_ratio_to_random,extension_normalized_aulc,extension_ratio_to_random
random,validation,0.8696299390720587,1.0,0.8669553055526136,1.0
raw_gradient_lcmd,validation,0.8615427377002746,0.9907004105902637,0.8574389621226304,0.9890232594817362
latent_coreset,validation,0.8898275553634406,1.023225530060446,0.877801165556872,1.0125102873640586
morgan_coreset,validation,0.9163387455072176,1.0537111296846562,0.9287921168062024,1.0713264119355874
random,test,0.8566773098349248,1.0,0.8533163254874487,1.0
raw_gradient_lcmd,test,0.8016369327749759,0.9357513308359308,0.7746283952875117,0.9077857438682105
latent_coreset,test,0.848434973104428,0.9903787147904207,0.8344978368511478,0.9779466440823675
morgan_coreset,test,0.8455276595334587,0.9869850057034724,0.820974131196736,0.9620982356428754
