geometry,method,selected_count,selected_sketch_norm_percentile_median,selected_full_norm_percentile_median,selected_sketch_norm_median,selected_top_decile_fraction,pool_zero_norm_count,pool_below_epsilon_count,selected_zero_norm_count,maxdet_logdet_gain_sum,maxdet_gain_median,raw_pairwise_distance_mean,raw_pairwise_distance_median,raw_nearest_L_distance_mean,raw_nearest_L_distance_median,unit_pairwise_distance_mean,unit_pairwise_distance_median,unit_nearest_L_distance_mean,unit_nearest_L_distance_median,raw_unit_intersection,raw_unit_jaccard
raw,lcmd,32,97.65338548032267,97.6778293815693,1449.0667815266365,0.78125,0,0,0,,,1817.7054635017028,1750.1273480355874,1041.5145302765427,939.678098116646,1.1798299148533953,1.2235238549934344,0.7035267944496442,0.7109009263949186,0,0.0
raw,maxdet,32,99.10779760449768,99.03446590075777,1724.7525215294222,1.0,0,0,0,25.42655014916067,0.732100281158563,2129.625996018698,2116.9535852369454,1232.7789725298535,1215.9012077716857,1.2086672443507542,1.253953577009388,0.6956596555122916,0.7039019986021989,1,0.015873015873015872
unit,lcmd,32,40.57687606942068,40.857980933757034,582.275996151835,0.03125,0,0,0,,,769.8618284867775,731.1167855608746,468.761655451134,457.7402956281451,1.2336865691826282,1.2802476914688303,0.812004240185261,0.80972016703144,0,0.0
unit,maxdet,32,13.00415546321193,13.90857980933757,419.44430070856504,0.0625,0,0,0,10.497368469600055,0.31875304616476346,723.7973602882759,596.3125924933825,443.76062683685615,387.2678926042971,1.2817446565097397,1.3035362925808043,0.875251183210376,0.881130357631638,1,0.015873015873015872
