method,split,segment,start_budget,end_budget,normalized_nrmse_aulc,ratio_to_random,ratio_to_raw_gradient_lcmd
random,validation,early,333,429,0.8714130280850222,1.0,1.0082547920288714
random,validation,extension,429,493,0.8669553055526136,1.0,1.0110985666040007
random,validation,full,333,493,0.8696299390720587,1.0,1.0093868835728004
raw_gradient_lcmd,validation,early,333,429,0.8642785880853708,0.9918127916731637,1.0
raw_gradient_lcmd,validation,extension,429,493,0.8574389621226304,0.9890232594817362,1.0
raw_gradient_lcmd,validation,full,333,493,0.8615427377002746,0.9907004105902637,1.0
kernel_ivr,validation,early,333,429,0.8504436788001266,0.9759363830823405,0.9839925349580942
kernel_ivr,validation,extension,429,493,0.8716992145795963,1.0054719187905066,1.0166312158496553
kernel_ivr,validation,full,333,493,0.8589458931119145,0.9877142615725206,0.9969858203490962
hybrid_ensemble_latent,validation,early,333,429,0.9049779366706995,1.0385177952404936,1.0470905436584859
hybrid_ensemble_latent,validation,extension,429,493,0.8973753837740032,1.0350884042424762,1.0465764018379902
hybrid_ensemble_latent,validation,full,333,493,0.9019369155120209,1.0371502578147616,1.0468858665323684
random,test,early,333,429,0.8589179660665754,1.0,1.047917641741052
random,test,extension,429,493,0.8533163254874487,1.0,1.101581520479547
random,test,full,333,493,0.8566773098349248,1.0,1.0686599816071587
raw_gradient_lcmd,test,early,333,429,0.8196426244332855,0.9542734659362735,1.0
raw_gradient_lcmd,test,extension,429,493,0.7746283952875117,0.9077857438682105,1.0
raw_gradient_lcmd,test,full,333,493,0.8016369327749759,0.9357513308359308,1.0
kernel_ivr,test,early,333,429,0.8202396141850817,0.9549685145618485,1.0007283537166078
kernel_ivr,test,extension,429,493,0.8095808173033849,0.9487464298083359,1.0451215346978087
kernel_ivr,test,full,333,493,0.815976095432403,0.9524894450509438,1.0178873528291543
hybrid_ensemble_latent,test,early,333,429,0.8431400173933632,0.981630435854698,1.0286678514020964
hybrid_ensemble_latent,test,extension,429,493,0.836231542099335,0.9799783704145656,1.0795260633183459
hybrid_ensemble_latent,test,full,333,493,0.8403766272757519,0.9809722022842954,1.048325735650269
