method,budget,selected_gradient_norm_percentile,ivr_score_percentile,predicted_variance_reduction,relative_predicted_reduction,nearest_l_gradient_distance,ensemble_uncertainty_percentile,shortlist_uncertainty_percentile,shortlist_threshold,selected_uncertainty_mean,shortlist_uncertainty_mean,selected_latent_nearest_l_distance,selected_morgan_novelty,novel_scaffold_fraction,top32_uncertainty_retained,top_shortlist_quartile_retained
kernel_ivr,333,97.80627126883812,98.0584589207584,0.030978735113465484,0.17466914814807774,733.421700645615,,,,,,,,,,
hybrid_ensemble_latent,333,,,,,,86.75255226057365,87.49392318911036,2.0206627026036523,2.7757568661941914,2.902253426820823,0.0738319331504792,0.6034166812896729,0.625,0,8
kernel_ivr,365,97.43768373346398,98.65262126408622,0.026099856307796973,0.13164900891119857,796.8498088588926,,,,,,,,,,
hybrid_ensemble_latent,365,,,,,,86.39683365997061,87.4938755512004,2.1990560472930265,3.060495571450853,3.2685949400308623,0.05598701937891304,0.5856016874313354,0.65625,0,9
kernel_ivr,397,98.81172839506173,98.93518518518519,0.026242762352519742,0.12885897277180738,874.0306333473391,,,,,,,,,,
hybrid_ensemble_latent,397,,,,,,86.07793209876542,87.49382716049384,2.103080866663128,3.0255531883844666,3.1229752083005664,0.07951187149897963,0.587807297706604,0.75,1,7
kernel_ivr,429,97.38520408163265,99.0962543554007,0.01338065187697178,0.08982558875003217,847.8996691113916,,,,,,,,,,
hybrid_ensemble_latent,429,,,,,,84.63321304131408,87.49377799900448,2.3362587711454736,3.0919493451507667,3.2747377827324926,0.07264983523102765,0.5422593355178833,0.6875,2,7
kernel_ivr,461,96.77856874059208,98.98786377320621,0.011347539919682327,0.0874040649188937,1094.6943986974147,,,,,,,,,,
hybrid_ensemble_latent,461,,,,,,84.6588058203713,87.49372804816859,2.3771840387628207,3.048825497925095,3.3576660525035695,0.05542461714250915,0.5476779937744141,0.59375,1,4
