method,split,metric,partial_aulc_raw,partial_aulc_mean
lcmd,test,rmse,747.0646609164141,7.781923551212647
lcmd,test,nrmse,86.83001527003645,0.9044793257295464
lcmd,validation,rmse,749.3787315903542,7.8060284540661895
lcmd,validation,nrmse,87.09897564584605,0.9072809963108964
maxdet,test,rmse,771.1209228338835,8.032509612852953
maxdet,test,nrmse,89.6260324006976,0.9336045041739333
maxdet,validation,rmse,704.3602073783723,7.337085493524711
maxdet,validation,nrmse,81.86655153416899,0.852776578480927
random,test,rmse,751.645771458667,7.829643452694448
random,test,nrmse,87.36246971360441,0.9100257261833793
random,validation,rmse,737.7203199661701,7.684586666314272
random,validation,nrmse,85.74393891032372,0.893166030315872
