first,second,scope,intersection,union,jaccard
random,lcmd,batch_1,2,62,0.03225806451612903
random,lcmd,batch_2,0,64,0.0
random,lcmd,batch_3,1,63,0.015873015873015872
random,lcmd,cumulative_96,6,186,0.03225806451612903
random,maxdet,batch_1,0,64,0.0
random,maxdet,batch_2,0,64,0.0
random,maxdet,batch_3,0,64,0.0
random,maxdet,cumulative_96,5,187,0.026737967914438502
lcmd,maxdet,batch_1,7,57,0.12280701754385964
lcmd,maxdet,batch_2,3,61,0.04918032786885246
lcmd,maxdet,batch_3,2,62,0.03225806451612903
lcmd,maxdet,cumulative_96,26,166,0.1566265060240964
