method,round,budget,training_seconds,training_actual_seconds,epochs_run,best_epoch,gradient_seconds,gradient_actual_seconds,acquisition_seconds,fit_reused,gradient_reused
random,0,356,302.2545630829991,302.2545630829991,234,134,0.0,0.0,1.2080054148100317e-06,False,False
random,1,388,190.99333399999887,190.99333399999887,143,43,0.0,0.0,1.0829971870407462e-06,False,False
random,2,420,251.0274108750018,251.0274108750018,186,86,0.0,0.0,1.2920063454657793e-06,False,False
random,3,452,235.35685266600194,235.35685266600194,158,58,0.0,0.0,0.0,False,False
lcmd,0,356,302.2545630829991,0.0,234,134,81.98140070900263,81.98140070900263,0.3318459169968264,True,False
lcmd,1,388,274.53474516700226,274.53474516700226,200,100,62.78965716699895,62.78965716699895,0.1327458750020014,False,False
lcmd,2,420,210.03446245899977,210.03446245899977,189,89,92.89471245800087,92.89471245800087,0.523218165995786,False,False
lcmd,3,452,327.0682575420069,327.0682575420069,161,61,0.0,0.0,0.0,False,False
maxdet,0,356,302.2545630829991,0.0,234,134,81.98140070900263,0.0,0.8473159590066643,True,True
maxdet,1,388,277.8321132500132,277.8321132500132,163,63,89.51800287500373,89.51800287500373,0.7406873750005616,False,False
maxdet,2,420,443.2979802500049,443.2979802500049,220,120,115.45570925000357,115.45570925000357,0.902785957994638,False,False
maxdet,3,452,436.59777808299987,436.59777808299987,200,100,0.0,0.0,0.0,False,False
