{'stage': 'training', 'arm': 'B', 'seed': 525, 'epoch': 150, 'steps': 300, 'best_epoch': 109, 'best_rmse': 7.7579312989417835, 'elapsed_seconds': 167.81}
{'stage': 'training', 'arm': 'C', 'seed': 525, 'epoch': 1, 'steps': 3, 'best_epoch': 1, 'best_rmse': 12.2388573002584, 'elapsed_seconds': 0.94}
{'stage': 'training', 'arm': 'C', 'seed': 525, 'epoch': 25, 'steps': 75, 'best_epoch': 18, 'best_rmse': 8.352850206228055, 'elapsed_seconds': 23.48}
{'stage': 'training', 'arm': 'C', 'seed': 525, 'epoch': 50, 'steps': 150, 'best_epoch': 18, 'best_rmse': 8.352850206228055, 'elapsed_seconds': 51.69}
{'stage': 'training', 'arm': 'C', 'seed': 525, 'epoch': 75, 'steps': 225, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 75.31}
{'stage': 'training', 'arm': 'C', 'seed': 525, 'epoch': 100, 'steps': 300, 'best_epoch': 55, 'best_rmse': 8.30565877780421, 'elapsed_seconds': 104.08}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 1, 'steps': 2, 'best_epoch': 1, 'best_rmse': 13.436351879484844, 'elapsed_seconds': 1.03}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 25, 'steps': 50, 'best_epoch': 19, 'best_rmse': 8.231729385457456, 'elapsed_seconds': 27.22}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 50, 'steps': 100, 'best_epoch': 47, 'best_rmse': 7.813247431515192, 'elapsed_seconds': 53.31}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 75, 'steps': 150, 'best_epoch': 56, 'best_rmse': 7.775083104415582, 'elapsed_seconds': 76.53}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 100, 'steps': 200, 'best_epoch': 56, 'best_rmse': 7.775083104415582, 'elapsed_seconds': 106.85}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 125, 'steps': 250, 'best_epoch': 109, 'best_rmse': 7.7579312989417835, 'elapsed_seconds': 138.55}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 150, 'steps': 300, 'best_epoch': 109, 'best_rmse': 7.7579312989417835, 'elapsed_seconds': 169.96}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 175, 'steps': 350, 'best_epoch': 109, 'best_rmse': 7.7579312989417835, 'elapsed_seconds': 189.8}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 200, 'steps': 400, 'best_epoch': 109, 'best_rmse': 7.7579312989417835, 'elapsed_seconds': 203.57}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 225, 'steps': 450, 'best_epoch': 109, 'best_rmse': 7.7579312989417835, 'elapsed_seconds': 220.1}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 250, 'steps': 500, 'best_epoch': 233, 'best_rmse': 7.752414989563484, 'elapsed_seconds': 235.3}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 275, 'steps': 550, 'best_epoch': 233, 'best_rmse': 7.752414989563484, 'elapsed_seconds': 249.07}
{'stage': 'training', 'arm': 'D', 'seed': 525, 'epoch': 300, 'steps': 600, 'best_epoch': 233, 'best_rmse': 7.752414989563484, 'elapsed_seconds': 263.64}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 1, 'steps': 3, 'best_epoch': 1, 'best_rmse': 12.2388573002584, 'elapsed_seconds': 0.72}
{'stage': 'training', 'arm': 'E', 'seed': 525, 'epoch': 25, 'steps': 75, 'best_epoch': 18, 'best_rmse': 8.352850206228055, 'elapsed_seconds': 15.43}
