sample_index,central_prediction,full_gradient_norm,sketch_gradient_norm,truth,absolute_error,squared_error,arm,initialization_seed
96,7.652372360229492,742.3922691634162,780.3051545184909,7.39,0.2623724937438965,0.068839325473391,A,525
101,5.934304237365723,485.82409107545874,490.344490471156,13.509,7.574695587158203,57.37601323811396,A,525
110,8.90772533416748,738.9342596567271,712.7427314157262,3.55,5.357725381851196,28.705221267332547,A,525
134,7.679758071899414,742.73349345515,722.500347669587,3.8,3.87975811958313,15.052523066471224,A,525
145,9.160099029541016,851.3116111435867,878.1058524394297,11.62,2.4599008560180664,6.051112221438416,A,525
148,9.734512329101562,688.9639615294707,720.8376233399475,8.87,0.8645124435424805,0.7473817650397905,A,525
158,16.30974769592285,1137.1380913470118,1218.0753965218055,8.25,8.059747695922852,64.95953292193371,A,525
197,8.56027603149414,843.7854039574829,859.8252995238269,11.33,2.769723892211914,7.671370439089514,A,525
205,10.570405006408691,952.198856887754,921.6306010951168,11.8,1.229595184326172,1.5119043173181126,A,525
230,8.709126472473145,950.2763145649012,988.6536216855516,9.35,0.640873908996582,0.4107193672325593,A,525
239,6.341743469238281,780.6264326167639,759.004011782004,4.75,1.5917434692382812,2.533647271862719,A,525
304,10.455841064453123,797.5167727667284,776.0533945885097,10.5,0.044158935546875,0.001950011588633,A,525
313,19.865327835083008,1147.3685981602378,1126.4803052036673,9.4,10.465328216552734,109.52309468017484,A,525
319,5.363443374633789,570.9818071796926,568.9150583220948,11.95,6.586556434631348,43.38272566658361,A,525
322,12.977788925170898,1060.8781816765995,1098.1715798396322,5.84,7.137788772583008,50.94802856201204,A,525
323,12.106473922729492,1058.9053557114237,1096.6543746114032,8.56,3.546473503112793,12.577474308281126,A,525
324,13.369003295898438,917.0905882414952,983.0958322708684,9.76,3.6090030670166016,13.024903137735237,A,525
344,8.208786010742188,1712.884330891713,1648.4676587896847,5.529,2.679786205291748,7.181254106071947,A,525
425,10.45645523071289,1001.863106595834,1018.838335249968,12.2,1.743544578552246,3.039947697398929,A,525
427,14.602659225463867,1034.4886774640108,1060.8919799298908,12.2,2.4026594161987305,5.772772270248424,A,525
428,15.811148643493652,1249.4055685893404,1238.3780879343178,9.5,6.311148643493652,39.83059720027177,A,525
457,8.645852088928223,827.6843252538707,832.5743986857539,9.52,0.8741483688354492,0.7641353707376766,A,525
465,20.30398178100586,1032.0266323320454,993.3759057925272,13.7,6.603981971740723,43.61257788307648,A,525
471,5.670412063598633,437.70152111162827,426.3453453831848,15.2,9.529587745666504,90.8130426023572,A,525
493,10.036921501159668,974.156163844874,1000.8457696648348,8.49,1.546921730041504,2.3929668388745995,A,525
556,11.537243843078612,839.5466332189515,857.696648273299,15.4,3.86275577545166,14.920882180785156,A,525
568,8.327149391174316,723.2141133683051,707.5018442369036,11.75,3.422850608825684,11.715906290338353,A,525
611,4.193159103393555,263.86037724289054,270.7442336944606,16.31,12.116840362548828,146.81782037149242,A,525
626,19.44730758666992,867.1693936348429,863.694971121008,13.4848,5.962507247924805,35.55149268155583,A,525
633,12.90334129333496,1040.0901163769108,1089.947202496647,14.5,1.596658706665039,2.5493190255692757,A,525
652,15.054795265197754,754.2155060373062,742.3936661082154,18.84,3.7852048873901367,14.327776039522178,A,525
669,14.754985809326172,818.3969068717442,827.9204605328779,17.268,2.51301383972168,6.3152385586327,A,525
676,14.555278778076172,1168.6863901132244,1167.410866754208,17.8,3.244720458984375,10.528210856951771,A,525
692,18.173904418945312,1500.0460878892568,1510.0272741668166,18.1,0.0739040374755859,0.0054618067551928,A,525
719,12.163541793823242,1402.0087278490598,1408.631060818704,13.454,1.2904586791992188,1.6652836027205922,A,525
722,12.775592803955078,844.5935509273313,843.3764450610425,11.2,1.5755929946899414,2.4824932849160177,A,525
742,6.849148750305176,613.8559442868009,593.0922711290366,9.85,3.000851631164551,9.005110512262945,A,525
763,21.024084091186523,1447.6264317526716,1508.6847957573484,6.112,14.912084102630615,222.37025228392872,A,525
770,11.66667652130127,1147.5501224437971,1203.1618403824775,20.4,8.733323097229004,76.2709323205936,A,525
805,24.1055908203125,1205.1217428199077,1277.9836996102913,19.4,4.705591201782227,22.1425885582903,A,525
817,13.69321060180664,699.2604180232166,705.8848131817933,13.37,0.3232107162475586,0.1044651670972598,A,525
867,16.26129722595215,1165.1985263181728,1197.2135125038312,22.6,6.338703155517578,40.1791576937685,A,525
869,10.401476860046388,770.0287556177099,748.8226719578911,13.3,2.898523330688477,8.40143749854542,A,525
875,22.9187126159668,1454.4246575172265,1457.8854523715709,18.4,4.518712997436523,20.41876715320177,A,525
889,21.04070281982422,1077.890122796834,1089.3909460168663,19.92,1.1207027435302734,1.2559746393562818,A,525
924,12.139705657958984,939.9108013858976,992.959892270804,15.78,3.640294075012207,13.25174095256898,A,525
960,23.10470962524414,1172.2554459638968,1199.6796524054594,28.6,5.495290756225586,30.19822049545837,A,525
1045,15.660008430480955,614.1616483022458,619.1863267061159,38.24,22.57999324798584,509.8560950790861,A,525
1064,13.463138580322266,1314.1489608447018,1340.619218033744,45.7,32.23686218261719,1039.2152833810542,A,525
1066,15.86347770690918,1189.2677657021263,1211.9753152410622,46.0,30.13652229309082,908.20997592196,A,525
1075,14.359466552734377,1168.1166484600064,1166.4744427704925,13.275,1.0844669342041016,1.1760685313820431,A,525
1085,13.99058437347412,957.1931866310084,992.1681672257872,26.45,12.459416389465332,155.23705676607733,A,525
1088,17.69622039794922,1592.575497116624,1647.1795299486914,17.84,0.1437797546386718,0.0206726178439566,A,525
