initialization_seed,reference_rmse,practical_arm,practical_rmse,absolute_improvement,relative_improvement_percent
525,7.918731533604954,D,7.752414989563484,0.16631654404146978,2.10029274683284
1525,7.513503344962675,D,7.429391737949848,0.0841116070128276,1.1194725436466209
2525,7.944429579010477,D,7.755326949298554,0.1891026297119236,2.3803172755353112
