arm,metric,mean,std,initialization_seeds
A,rmse,7.792221485859369,0.24171873930892893,3
A,mae,5.293097017908547,0.10289192761757815,3
A,r2,0.21467268863485944,0.048260846481185136,3
A,nrmse,0.9056762366121033,0.028094545122107645,3
D,rmse,7.645711225603962,0.18734382944623107,3
D,mae,5.111838366499474,0.11882119187386654,3
D,r2,0.24410897491451103,0.03676671769069166,3
D,nrmse,0.8886476060253096,0.021774644716307055,3
