reference,comparison,contrast,reference_best_rmse,comparison_best_rmse,best_rmse_improvement_percent,reference_final_rmse,comparison_final_rmse
A,B,matched_300_updates,7.918731533604954,7.757931298941783,2.0306312189115,8.017035430497284,7.857023291541695
A,C,matched_300_updates,7.918731533604954,8.30565877780421,-4.886227580228487,8.017035430497284,8.553430416452068
B,D,batch256_duration_extension,7.757931298941783,7.752414989563484,0.07110541671141916,7.857023291541695,7.942704649307351
C,E,batch128_duration_extension,8.30565877780421,8.21919201511823,1.0410584518238457,8.553430416452068,8.349965236217892
A,D,matched_300_epochs,7.918731533604954,7.752414989563484,2.10029274683284,8.017035430497284,7.942704649307351
A,E,matched_300_epochs,7.918731533604954,8.21919201511823,-3.794300643205325,8.017035430497284,8.349965236217892
