seed,method,budget,split,rmse,mae,r2,nrmse,training_seconds
1525,random,333,validation,8.04399728543959,5.287642431403944,0.1636396455548056,0.905933029109455,153.41706829200848
1525,random,333,test,7.389080830372507,5.246416527250035,0.20954636612863642,0.8321748679740083,153.41706829200848
1525,random,365,validation,8.113203285731393,5.082832493762738,0.1491865965988729,0.9137271641957992,128.13530216700747
1525,random,365,test,7.844288529489985,5.301432569982552,0.10915389674686105,0.8834413807663366,128.13530216700747
1525,random,397,validation,7.930684677387116,4.954846000864438,0.18703663954262184,0.8931715088594316,87.20586137499777
1525,random,397,test,7.401323232510648,4.9284131459379,0.20692491210416408,0.8335536347809859,87.20586137499777
1525,random,429,validation,7.907693726358773,5.057671716821338,0.19174334756946698,0.8905822163512263,100.66686941601802
1525,random,429,test,7.722045754836616,5.30889189870734,0.13670285094858525,0.8696741251098823,100.66686941601802
1525,raw_gradient_lcmd,333,validation,8.04399728543959,5.287642431403944,0.1636396455548056,0.905933029109455,153.41706829200848
1525,raw_gradient_lcmd,333,test,7.389080830372507,5.246416527250035,0.20954636612863642,0.8321748679740083,153.41706829200848
1525,raw_gradient_lcmd,365,validation,7.748383797860077,5.070312231658441,0.22398189110421063,0.8726403746311556,98.87781875001383
1525,raw_gradient_lcmd,365,test,7.337488787698608,4.863014817720483,0.22054604188716842,0.8263644563292765,98.87781875001383
1525,raw_gradient_lcmd,397,validation,7.8407391588602575,4.818739717305913,0.20537244700960466,0.8830416426794228,271.4106587500137
1525,raw_gradient_lcmd,397,test,7.249539160737791,4.7468127721717,0.23911965445836691,0.8164593719372315,271.4106587500137
1525,raw_gradient_lcmd,429,validation,7.73548316677789,4.913145480368302,0.22656379453418862,0.8711874766030988,105.09613208301016
1525,raw_gradient_lcmd,429,test,7.3533248235116435,5.182349629730348,0.21717791930289754,0.8281479462266634,105.09613208301016
2525,random,333,validation,7.883076674480091,4.938284818580759,0.19676780264023952,0.8878097887154578,109.39019562499016
2525,random,333,test,7.594364364105606,4.987754972357499,0.1650154772462712,0.8552943603037421,109.39019562499016
2525,random,365,validation,7.974956865750927,5.033575627485267,0.17793474524547503,0.8981575420822835,95.84164691600017
2525,random,365,test,7.179340395802064,4.8304491545024675,0.2537838298041796,0.8085534294684195,95.84164691600017
2525,random,397,validation,7.697376290183427,5.136619240166205,0.2341652956226855,0.8668957946298079,89.39997170798597
2525,random,397,test,7.973043527658916,5.564954964738143,0.07966945600651087,0.8979420576518569,89.39997170798597
2525,random,429,validation,7.753522855097432,5.021877545576829,0.22295217340077833,0.8732191467918861,104.17926712500048
2525,random,429,test,7.41932462643184,5.070926812013634,0.20306240857176394,0.835580992168679,104.17926712500048
2525,raw_gradient_lcmd,333,validation,7.883076674480091,4.938284818580759,0.19676780264023952,0.8878097887154578,109.39019562499016
2525,raw_gradient_lcmd,333,test,7.594364364105606,4.987754972357499,0.1650154772462712,0.8552943603037421,109.39019562499016
2525,raw_gradient_lcmd,365,validation,7.885273675299155,4.9782418104318475,0.19632002120206304,0.8880572198788885,101.91767220798647
2525,raw_gradient_lcmd,365,test,7.505057223643667,4.87088145707783,0.1845382752371959,0.8452363896942496,101.91767220798647
2525,raw_gradient_lcmd,397,validation,7.874697510985905,4.966549462152396,0.19847445530943686,0.8868661085156357,263.17797895899275
2525,raw_gradient_lcmd,397,test,6.720703018139525,4.364059290905231,0.3460794660168527,0.7569006585804026,263.17797895899275
2525,raw_gradient_lcmd,429,validation,8.228903702447829,5.548199513663165,0.12474708178488447,0.9267576048170157,100.47643258300377
2525,raw_gradient_lcmd,429,test,7.370111257540859,5.2482160537349065,0.21359973102342322,0.8300384721043337,100.47643258300377
