epoch,train_loss,validation_mse,train_seconds,validation_seconds,steps_per_epoch,observed_batch_sizes
1,274.7748588248475,168.93232533243867,1.713091457990231,0.396058374986751,2,"[256, 109]"
2,158.87771775755164,253.99986964708455,1.2343161670141853,0.47002724997582845,2,"[256, 109]"
3,114.50695223873609,267.9703551955185,1.4320758339890745,0.40459191700210795,2,"[256, 109]"
4,84.55091051075557,267.9767563252693,1.7520702500187326,0.3674952909932472,2,"[256, 109]"
5,72.13602512307364,264.48258469725494,1.2802405420225114,0.35612904201843776,2,"[256, 109]"
6,68.48344636681962,248.382390908286,1.2960900420148391,0.5731469159945846,2,"[256, 109]"
7,60.90076132996442,238.6499897721567,1.5739649169845507,0.39297124999575317,2,"[256, 109]"
8,55.578429329231994,203.37717400808782,1.4438656250131316,0.41268749997834675,2,"[256, 109]"
9,51.62450060909742,220.54052628246265,1.4386422499956097,0.4528322499827482,2,"[256, 109]"
10,47.52923134581683,227.49372119813506,1.579722499998752,0.4842957920045592,2,"[256, 109]"
11,44.41316071601763,176.78651552798428,1.499934999999823,0.518110417004209,2,"[256, 109]"
12,42.341836840485875,119.60448328070645,1.910500541998772,0.4026805410103407,2,"[256, 109]"
13,40.456456902908954,91.3978689068706,1.4144210839876905,0.45645241599413566,2,"[256, 109]"
14,33.61142364920002,85.3869096891301,1.3859892080072314,0.37327091698534787,2,"[256, 109]"
15,31.618160080583127,81.7449413936019,1.7202830419992097,0.47390316700330004,2,"[256, 109]"
16,29.456805911129468,74.61535838789277,1.8391450829803944,0.44931195900426246,2,"[256, 109]"
17,26.913951330315577,74.44279288026357,1.856695916998433,0.36310679200687446,2,"[256, 109]"
18,22.320622169808164,105.12479290199762,1.7923466250067577,0.453442084020935,2,"[256, 109]"
19,23.973792141430998,72.4883938438571,2.9007781670079567,0.4153498329978902,2,"[256, 109]"
20,20.117985738466864,83.03666780016512,1.4476151659910101,0.471967500023311,2,"[256, 109]"
21,21.722888617319605,70.79018102349694,1.4267816669889726,0.6489892499812413,2,"[256, 109]"
22,17.630201214306975,93.16853733022784,2.2055660839832854,0.43097491600201465,2,"[256, 109]"
23,15.102559290846733,122.22087578980084,1.2967755419958849,0.4326752079941798,2,"[256, 109]"
24,15.239652003980662,92.01990123500072,1.4314559170161374,0.438456292002229,2,"[256, 109]"
25,11.09079288848459,65.05713902751674,1.5747334580228198,0.4026859159930609,2,"[256, 109]"
26,11.623932485711086,66.23583295925053,1.4413423750083894,0.39181804098188877,2,"[256, 109]"
27,12.361128328924309,97.40356290010935,1.271841375011718,0.3597304580034688,2,"[256, 109]"
28,11.529357784741546,82.20701231000815,1.4469513329968322,0.4328582079906482,2,"[256, 109]"
29,9.09277227218837,67.67945602698074,1.3307415840099566,0.4222701249818783,2,"[256, 109]"
30,8.58033028955329,68.42801271478534,1.270561874989653,0.39229312498355284,2,"[256, 109]"
31,7.922990744081262,68.87705801976722,1.16843454100308,0.34253741599968635,2,"[256, 109]"
32,11.857969686429794,66.58021487832687,1.2995908339798916,0.4279200829914771,2,"[256, 109]"
33,7.538034747398063,69.11063850080967,1.4033889579877723,0.38568629100336693,2,"[256, 109]"
34,9.08790128002428,69.48092727573307,1.2048451250011567,0.4472300829947926,2,"[256, 109]"
35,10.050174389146779,81.35677783727117,1.3598634999943897,0.45496883301530033,2,"[256, 109]"
36,8.541471473484822,68.54457397215826,1.4380935410154052,0.4672267920104787,2,"[256, 109]"
37,9.47348403930664,69.29779522391026,1.4030636670067906,0.3791718329885043,2,"[256, 109]"
38,9.751893984128351,74.30436354668872,1.2015420829993673,0.3610656250093598,2,"[256, 109]"
39,7.539004929424965,78.90095475072057,1.1191947920015082,0.4115632080065552,2,"[256, 109]"
40,9.316186826523037,73.50545634866968,1.28226624999661,0.42783650002093054,2,"[256, 109]"
41,8.94246588667778,65.86781737407055,1.3569556250004098,0.3636272919829935,2,"[256, 109]"
42,6.017145709468894,74.10969731912661,1.3217208330170251,0.36754187499172986,2,"[256, 109]"
43,7.537728257375221,69.25841433107732,1.2368035420076922,0.5898736249946523,2,"[256, 109]"
44,7.3454051226785735,67.85376554216352,1.3878935420070775,0.3433149580087047,2,"[256, 109]"
45,5.422573409668387,77.62655980945026,1.2227863330044784,0.3188479999953415,2,"[256, 109]"
46,4.191254658894996,77.77360966298566,1.2544172499910928,0.4730843330034986,2,"[256, 109]"
47,5.114468705164243,70.64481591716826,1.2502086250169668,0.4217558749951422,2,"[256, 109]"
48,4.423446207177149,75.00392658194808,1.2484615419816691,0.34129916699021123,2,"[256, 109]"
49,4.46182053970964,73.60663679716161,1.3099173749797046,0.3669739169999957,2,"[256, 109]"
50,4.155710883989726,74.60781308832267,1.3282780000008643,0.3407620000070892,2,"[256, 109]"
51,5.15707738562806,80.92792202193196,1.1689248750044499,0.40520350000588223,2,"[256, 109]"
52,5.582791008361398,75.94975735322184,1.38439362499048,0.3883242500014603,2,"[256, 109]"
53,3.9795384224147012,69.93121058575049,1.2541962079994846,0.3405115829955321,2,"[256, 109]"
54,4.379750689415083,69.8997496262313,1.3089447499951348,0.3803334579861257,2,"[256, 109]"
55,5.3701529411420434,71.17234703255583,1.255018999974709,0.4063766250037588,2,"[256, 109]"
56,4.235903562258367,94.89815528132702,1.2853089589916635,0.3416523330088239,2,"[256, 109]"
57,4.521909742485987,77.044118363879,1.2654086250113323,0.3281287089921534,2,"[256, 109]"
58,4.7017906450245475,76.46905256167771,1.2807483749929816,0.3357290410203859,2,"[256, 109]"
59,5.0355684123627125,70.05032485507309,1.2840966249932535,0.4093484159966465,2,"[256, 109]"
60,2.554985333795417,74.76914263209463,1.2419020840025041,0.5071868340019137,2,"[256, 109]"
61,3.866982531874147,74.85072111020386,1.2921827920072246,0.400271916994825,2,"[256, 109]"
62,2.2462353013966183,72.34121726453475,1.2850999170041177,0.3760519170027692,2,"[256, 109]"
63,3.1702171214639323,70.44181591343342,1.4026147500262596,0.38550299999769777,2,"[256, 109]"
64,2.9968163176758646,68.82275674945843,1.2167872079880908,0.41476516699185595,2,"[256, 109]"
65,2.790427379085593,66.36750960729219,1.158951249992242,0.34187929198378697,2,"[256, 109]"
