epoch,train_loss,validation_mse,train_seconds,validation_seconds
1,341.51629638671875,255.03416118482218,1.3893948750046548,0.49774191599863116
2,159.3298797607422,198.44657890463,1.3775065840018215,0.48750583300716244
3,186.05091857910156,232.01289969954843,1.3527005419891793,0.49416562500118744
4,124.32685089111328,249.94015316761767,1.4230902919953223,0.46189629200671334
5,113.73631286621094,260.21140257527355,1.4502999589894898,0.4348013330018148
6,100.70713806152344,266.9519621475686,1.364028915995732,0.4621754580002744
7,88.67919921875,267.5841999728647,1.363413250001031,0.48113945899240207
8,82.51152801513672,267.53213677824607,1.3414592499902938,0.4655902079975931
9,77.89347839355469,267.0400862452941,1.3848906249913853,0.4451944589964114
10,72.18478393554688,266.26062714861035,1.4126302500080783,0.44902445799380075
11,66.72846221923828,264.93288922319726,1.3707619170018006,0.45580462500220165
12,60.85481262207031,262.4469880826635,1.3656015419983305,0.4828935419936897
13,55.8614616394043,254.69491671304783,1.3617191249941243,0.4823353340034373
14,52.50959014892578,232.85200937400492,1.3814962500036927,0.4978995410056086
15,48.81879806518555,198.89591998509505,1.3581352079927456,0.45711308300087694
16,45.31927490234375,158.17120801355225,1.4129483750002692,0.4687545409979066
17,40.869571685791016,114.18124677801215,1.3524392090039328,0.47534254199126735
18,36.022830963134766,90.31165681204781,1.3106695409951499,0.45962437499838416
19,32.08541488647461,81.78165263848919,1.380613417000859,0.4747500000084983
20,28.993061065673828,87.20656027074779,1.4009887499996694,0.4275250000064261
21,30.99676513671875,170.3059791684747,1.359537291995366,0.4334668750088895
22,38.01620101928711,113.46492130449475,1.3807689160021255,0.4777766250044806
23,26.31591033935547,95.62331965000216,1.3371583340049256,0.5001900420029415
24,23.342050552368164,126.56204171726186,1.3412347919947933,0.4753104999981588
25,22.03384780883789,131.57091552503425,1.3827793749951525,0.4713057910121279
26,19.55994987487793,96.29710067509336,1.3728416669910075,0.46813587499491405
27,18.306503295898438,84.81233782186241,1.3576725419989089,0.47192625000025146
28,16.809959411621094,98.52423659176135,1.3284369580069324,0.4740205840062117
29,14.90118408203125,107.79556498890878,1.4059267090051435,0.4293145419942448
30,14.344451904296875,82.26684715558983,1.3636791659955634,0.4442066670017084
31,12.418681144714355,72.16262968862789,1.3830847089993767,0.45831441700283904
32,11.490360260009766,78.0091549941962,1.4301087079948047,0.4697467499936465
33,11.121315002441406,79.22496281967504,1.3827295410010265,0.4628768330003368
34,9.493315696716309,70.65753544499479,1.3719053749955492,0.46371045800333377
35,9.727392196655273,68.54440597006425,1.361527458007913,0.4718041669984814
36,8.146647453308105,74.5553008110181,1.324762959004147,0.49905733299965505
37,7.999576568603516,76.88488428968056,1.3572063329920638,0.4814142079994781
38,7.338510513305664,68.55542456548909,1.406036459011375,0.4485009589989204
39,6.495913505554199,68.85190122740694,1.3911032079922734,0.4454661249910714
40,6.491578578948975,71.55320264317838,1.3673963330074912,0.45163287498871796
41,5.518078327178955,71.07501717836888,1.3671429580135737,0.446802791004302
42,5.531001091003418,67.75374613462091,1.3818851669930154,0.47246937500312924
43,4.814908027648926,65.24113481508765,1.3701478330040118,0.48713924999174196
44,4.798190593719482,65.35346659857301,1.360943749998114,0.46008537500165403
45,4.1342597007751465,67.42006454615019,1.3420313749957131,0.47337374999187887
46,4.259211540222168,63.63753282942166,1.3563925420021405,0.4880953749961918
47,3.5828871726989746,62.44540142558278,1.3653159579989733,0.4638200420013163
48,3.7682671546936035,62.566867437237946,1.3713937909924425,0.4389197920099832
49,3.1640663146972656,63.78716107876166,1.3687090000021271,0.4810753750061849
50,3.370828151702881,61.418900346840985,1.3705534170003375,0.536236915999325
51,2.701550006866455,61.233497325915216,1.3411139999952866,0.4560306669882266
52,2.9329357147216797,62.57250919458416,1.3606515830033459,0.4517597500089323
53,2.749058723449707,62.54320100970563,1.4048337080021156,0.47981337500095833
54,3.062161445617676,62.677792142028665,1.3641226250038017,0.4609717499988619
55,3.947425127029419,62.19620856905011,1.3604459159978433,0.4682837500004098
56,5.415063858032227,66.58488261669602,1.2302425840025535,0.4591257919964846
57,7.173938274383545,61.95678360528824,1.258010874997126,0.4381296670035226
58,3.4014029502868652,60.40254315461079,1.310366375008016,0.4163212499988731
59,3.0030672550201416,59.69524422822792,1.2886570420087082,0.40208412500214763
60,4.3392205238342285,56.448144992455504,1.273066124995239,0.43241466699691955
61,2.288069248199463,57.373463144711565,1.2730944579961943,0.44393891700019594
62,3.5343215465545654,56.00137269777091,1.2604082909965655,0.47228349999932107
63,2.507385015487671,54.855830336817654,1.2629839589935727,0.4390211660065688
64,2.631277084350586,58.12215077860925,1.2792345829948317,0.4446458330057794
65,2.3880932331085205,57.4388693919318,1.2442893339903094,0.4176595000026282
66,2.20585298538208,56.87469629413244,1.2633433339942712,0.42930783399788197
67,2.2475171089172363,55.31868470577237,1.2339931659953436,0.447375292002107
