file,column,raw_rows,unique_smiles,known_bad_rows,rtv_gt_60,eligible_known_rules
AD3_charity_0823.csv,AD3,581,557,0,4,577
ADH_charity_0606.csv,ADH,5418,5135,0,25,5393
AD_charity_0823.csv,AD,637,625,0,13,623
All_column_charity.csv,AD,637,625,0,13,623
All_column_charity.csv,AD3,581,557,0,4,577
All_column_charity.csv,ADH,5418,5135,0,25,5393
All_column_charity.csv,AS,315,309,0,3,312
All_column_charity.csv,ASH,1208,1141,0,23,1185
All_column_charity.csv,AZ,346,308,0,6,340
All_column_charity.csv,IA,1849,1724,1,35,1813
All_column_charity.csv,IAH,94,92,0,0,94
All_column_charity.csv,IAU,56,56,0,0,56
All_column_charity.csv,IB,665,645,0,2,663
All_column_charity.csv,IC,2091,2046,14,10,2067
All_column_charity.csv,IC3,1102,1014,0,52,1050
All_column_charity.csv,ICH,230,214,0,0,230
All_column_charity.csv,ID,633,607,1,12,620
All_column_charity.csv,IE,1058,1024,3,13,1042
All_column_charity.csv,IF,468,456,0,2,466
All_column_charity.csv,IF3,161,161,0,1,160
All_column_charity.csv,IG,268,258,0,8,260
All_column_charity.csv,OD,390,382,0,2,388
All_column_charity.csv,OD3,751,725,0,0,751
All_column_charity.csv,ODH,4972,4459,1,29,4942
All_column_charity.csv,OJ,244,221,0,3,241
All_column_charity.csv,OJ3,284,276,0,2,282
All_column_charity.csv,OJH,1828,1635,0,24,1804
All_column_charity.csv,OZ3,218,212,0,0,218
IA_charity_0823.csv,IA,1849,1724,1,35,1813
IC_charity_0823.csv,IC,2091,2046,15,10,2066
ODH_charity_0616.csv,ODH,4972,4459,1,29,4942
